,movieNm,movieCd,movieInfo,moviePoster,openDt
22,크리스마스의 황당한 악몽,179687,['마이클은 홀로 지내며 친구를 사귀는 데 서투른 회사원이다. 언제나 그렇듯이 홀로 크리스마스'],https://movie-phinf.pstatic.net/20181023_37/1540279793084kynG3_JPEG/movie_image.jpg?type=m203_290_2,2018 1206
23,헌터 킬러,92125,"['미 국방부는 격침당한 잠수함의 행방을 찾기 위해', ' ‘헌터 킬러’를 극비리에 투입시키고', ' 캡']",https://movie-phinf.pstatic.net/20181212_219/1544577062842KarfK_JPEG/movie_image.jpg?type=m203_290_2,2018 1206
24,호두까기 인형과 4개의 왕국,158622,"['크리스마스 이브,', ' 대부 ‘드로셀마이어’의 파티에 참석한 ‘클라라’는', ' 돌아가신 엄마의 마']",https://movie-phinf.pstatic.net/20181109_245/1541740985337rsPka_JPEG/movie_image.jpg?type=m203_290_2,2018 1206
25,로마,178097,"['멕시코시티 내 로마 지역을 배경으로, 한 중산층 가족의 젊은 가정부인 클레오(얄리차 아파리']",https://movie-phinf.pstatic.net/20181130_266/1543554431383bviim_JPEG/movie_image.jpg?type=m203_290_2,2018 1212
26,모어 댄 블루,179430,"['외로움에 갇혀 혼자 남겨졌지만, 크림을 만나 함께 살게 된 케이', ' 그러나 영원한 이별까지 ']",https://movie-phinf.pstatic.net/20181128_141/1543382638212PApzR_JPEG/movie_image.jpg?type=m203_290_2,2018 1212
27,부탁 하나만 들어줘,171452,"['멋진 커리어우먼, 매력적인 아내, 아름다운 엄마…', ' 모든 걸 다 갖춘 완벽한 여자 ‘에밀리']",https://movie-phinf.pstatic.net/20181123_25/154296256144880faz_JPEG/movie_image.jpg?type=m203_290_2,2018 1212
28,스파이더맨: 뉴 유니버스,171725,['평범한 10대 ‘마일스 모랄레스’는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된'],https://movie-phinf.pstatic.net/20181207_3/1544172927548CbuaX_JPEG/movie_image.jpg?type=m203_290_2,2018 1212
29,"안녕, 나의 소녀 시절이여",179841,"['안녕. 아빠, 엄마, 동생들.', ' 안녕. 집 앞의 돌, 시냇물, 풀잎들.', ' 안녕, 나의 소녀']",https://movie-phinf.pstatic.net/20181122_241/1542868683973Xju2P_JPEG/movie_image.jpg?type=m203_290_2,2018 1212
30,엘리엇과 산타 썰매단,169642,"['크리스마스 이브를 코앞에 둔 12월 21일.', ' 산타 할아버지의 썰매단을 이끌던 루돌프가 은']",https://movie-phinf.pstatic.net/20181206_290/1544063235476XXFIb_JPEG/movie_image.jpg?type=m203_290_2,2018 1212
31,갈매기,143388,"['달빛이 내려앉은 아름다운 호숫가,', ' 무대 뒤에서 첫 공연을 준비하는 ‘니나’(시얼샤 로넌)']",https://movie-phinf.pstatic.net/20181113_180/1542076578925oDbh4_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
32,데스티네이션 웨딩,167443,"['결혼식에 초대받은 ‘프랭크’(키아누 리브스)와 ‘린제이’(위노나 라이더).', ' 하지만 알고 ']",https://movie-phinf.pstatic.net/20181121_291/1542785218338sbAmn_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
33,삼국-무영자,177352,"['삼국시대 중국, 패국(沛國)의 장군 ‘도독’.', ' 몇해 전 적국 장수와의 싸움에서 치명상을 ']",https://movie-phinf.pstatic.net/20181206_250/1544058881294t76V8_PNG/movie_image.jpg?type=m203_290_2,2018 1213
34,선종 무문관,179712,"['한 깨달음을 얻으려 각지에서 모인 수행승들이 오대산 무문화상을 찾아가', ' 예로부터 해탈의 문']",https://movie-phinf.pstatic.net/20181130_103/1543560373110qD8z0_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
35,세이크리드 하트,179681,"['사고로 아내를 잃고 좌절감에 빠진 ‘로버트’에게 성당의 사제가 찾아온다.', ' 사제는 아내가 ']",https://movie-phinf.pstatic.net/20181204_74/1543909838200JfhLb_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
36,어른이 되면,175586,"['18년 만에 나보다 한 살 어린 막내동생과 함께 살기로 했다.', ' ', ' 동생 혜정은 13살 때']",https://movie-phinf.pstatic.net/20181108_212/1541642925460csipo_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
37,위시업,172776,"['인생 노잼시기에 나타난 마법같은 APP!! 이제 즐기는 일만 남았다?!', ' 전학과 동시에 찌']",https://movie-phinf.pstatic.net/20181112_35/1542002074964MBj6K_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
38,은혼2: 규칙은 깨라고 있는 것,178456,"['밀린 집세를 모으기 위해', ' 아르바이트를 시작하게 된 해결사 3인방!', ' ', '  [소심 오타쿠 ']",https://movie-phinf.pstatic.net/20181129_12/1543475783022xwYHD_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
39,토마스와 친구들: 우정의 대모험,173020,"['가장 사랑받는 기관차가 되고 싶은 장난꾸러기 꼬마 증기기관차 토마스는 화차와 함께', ' 소도어']",https://movie-phinf.pstatic.net/20181203_215/1543818500218L31rL_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
40,헬 페스트,174627,"['세계적인 호러 축제 ‘헬 페스트’', ' 그곳에 즐기러 간 10대들은', ' 쇼인지 리얼인지 구분할 ']",https://movie-phinf.pstatic.net/20181205_79/1543987227426CKNpt_JPEG/movie_image.jpg?type=m203_290_2,2018 1213
41,그린치,150688,['모두가 행복한 크리스마스를 참을 수 없는 그린치는 크리스마스를 훔치기 위해 산타가 되기로 '],https://movie-phinf.pstatic.net/20181219_173/1545182351444JkMbU_JPEG/movie_image.jpg?type=m203_290_2,2018 1219
42,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,172975,"['중독 위험! 세계를 지배하려는 ‘블랙판다 라면’이 나타났다!', ' 전설의 쿵후 ‘말랑말랑권’으']",https://movie-phinf.pstatic.net/20181207_248/1544159891384q2EC6_JPEG/movie_image.jpg?type=m203_290_2,2018 1219
43,극장판 포켓몬스터 모두의 이야기,172187,"['바람 축제에 온 지우와 피카츄.', ' 이브이를 찾는 리사와 새로 만난 친구들과 함께 하던 중,']",https://movie-phinf.pstatic.net/20181204_259/15438888834953FzA5_JPEG/movie_image.jpg?type=m203_290_2,2018 1219
44,마약왕,157297,"['“애국이 별게 아니다!', ' 일본에 뽕 팔믄 그게 바로 애국인기라!”', ' 마약도 수출하면 애국이']",https://movie-phinf.pstatic.net/20181126_96/1543207321602QPWG8_JPEG/movie_image.jpg?type=m203_290_2,2018 1219
45,스윙키즈,164101,"['1951년 한국전쟁, 최대 규모의 거제 포로수용소.', ' 새로 부임해 온 소장은 수용소의 대외']",https://movie-phinf.pstatic.net/20181123_36/1542956277015JmOTd_JPEG/movie_image.jpg?type=m203_290_2,2018 1219
46,아쿠아맨,151153,"['땅의 아들이자 바다의 왕, 심해의 수호자인 슈퍼히어로 아쿠아맨의 탄생을 그린 액션 블록버스']",https://movie-phinf.pstatic.net/20181210_126/1544403103928nczJs_JPEG/movie_image.jpg?type=m203_290_2,2018 1219
47,더 파티,159110,"['보건복지부 장관 임명을 자축하기 위해 친구들을 초대한 ‘자넷’.', ' 무슨 이유에서인지 무기력']",https://movie-phinf.pstatic.net/20181114_127/1542178755551Wkzc7_JPEG/movie_image.jpg?type=m203_290_2,2018 1220
48,메리 셸리: 프랑켄슈타인의 탄생,127391,['문학에 천부적인 재능을 가진 소녀 메리는 아버지의 제자인 낭만파 시인 퍼시와 운명적 사랑에'],https://movie-phinf.pstatic.net/20181127_56/1543295405741LPUQX_JPEG/movie_image.jpg?type=m203_290_2,2018 1220
49,바이 미,165205,"['카트야 코로예바는 모델이 되기 위해 엄마를 속이고 아부다비로 떠난다. 들뜬 마음도 잠시, ']",https://movie-phinf.pstatic.net/20181213_236/1544668739323nkiAj_JPEG/movie_image.jpg?type=m203_290_2,2018 1220
50,버블 패밀리,147864,"['순식간에 고층 건물이 올라가던 1980년대,', "" 소규모 건설업, 소위 '집장사'를 하던 나의""]",https://movie-phinf.pstatic.net/20181203_248/1543815753860dg4tw_JPEG/movie_image.jpg?type=m203_290_2,2018 1220
51,부다페스트 로큰롤,70025,"['모두가 서구로 망명하던 60년대 중반 헝가리,', "" 미국에서 생활했던 '미키'는 부모님과 함께""]",https://movie-phinf.pstatic.net/20181121_38/1542775744818sf87I_JPEG/movie_image.jpg?type=m203_290_2,2018 1220
52,이차크의 행복한 바이올린,171921,"['이스라엘 작은 동네에서부터 세계 유수의 무대에 오르기까지,', ' 육체적 한계마저 극복한 이차크']",https://movie-phinf.pstatic.net/20181126_124/1543193501298UKvUN_JPEG/movie_image.jpg?type=m203_290_2,2018 1220
53,범블비,164139,['지속된 디셉티콘과의 전쟁에서 위기에 몰린 옵티머스 프라임은 중요한 임무를 가진 오토봇을 지'],https://movie-phinf.pstatic.net/20181214_92/1544769316534ctOAO_JPEG/movie_image.jpg?type=m203_290_2,2018 1225
54,점박이 한반도의 공룡2 : 새로운 낙원,180379,"['8천만 년 전 백악기 최후의 재난 이후,', ' 모든 가족을 잃고 둘만 남게 된 공룡의 제왕 타']",https://movie-phinf.pstatic.net/20181226_152/1545790505642ANrUN_JPEG/movie_image.jpg?type=m203_290_2,2018 1225
55,PMC: 더 벙커,166092,"['글로벌 군사기업(PMC) 블랙리저드의 캡틴 에이헵(하정우)은', ' 미국 CIA의 의뢰로 거액의']",https://movie-phinf.pstatic.net/20181205_284/1543974277191S4IrC_JPEG/movie_image.jpg?type=m203_290_2,2018 1226
56,배틀 트랩,153998,"['아프가니스탄에서 네덜란드 육군이 재건 및 전투 임무를 수행 중인 가운데, 급조 폭발물 사고']",https://movie-phinf.pstatic.net/20181204_94/1543914125508Vomjs_JPEG/movie_image.jpg?type=m203_290_2,2018 1226
57,다잉,167542,"['서로 흔들림 없이 사랑하는 ‘루이스’와 ‘마르타’.', ' 하지만 ‘루이스’가 뇌종양 진단을 받']",https://movie-phinf.pstatic.net/20181203_142/1543813468985O7hHg_JPEG/movie_image.jpg?type=m203_290_2,2018 1227
58,두 번째 겨울,154983,"['“주인아줌마한테 전화 왔었어. 우리 집 연장계약 할거냐고.”', ' ', ' 결혼 2년 차의 20대 ']",https://movie-phinf.pstatic.net/20181214_191/1544767095151zsv20_JPEG/movie_image.jpg?type=m203_290_2,2018 1227
59,미스터 스마일,170456,"['머리부터 발끝까지 단정한 슈트로 풀착장, 얼굴엔 미소를 잃지 않고 우아하고 품위있게!', ' 사']",https://movie-phinf.pstatic.net/20181212_177/1544577222276NpxsP_JPEG/movie_image.jpg?type=m203_290_2,2018 1227
60,하나 빼고 완벽한 뉴욕 아파트,162002,"[""런던으로 떠나기 전, 뜨거운 눈물을 삼키며 남친 '벤'과 헤어진 '다이아나'"", ' 그로부터 3']",https://movie-phinf.pstatic.net/20181212_199/1544596475204OEsVP_JPEG/movie_image.jpg?type=m203_290_2,2018 1227
61,데드풀2: 순한 맛,181030,['잘못된 미래를 바로 잡기 위해 과거와 미래를 오가는 수퍼히어로들의 활약을 그린 SF 영화'],https://movie-phinf.pstatic.net/20181221_228/1545355918997UxumA_JPEG/movie_image.jpg?type=m203_290_2,2019 0103
62,레인보우: 나의 사랑,167720,"['1943년 이탈리아 피에몬테,', ' 영문학에 매료된 청년 밀톤은 사랑하는 여인 풀비아에게', "" '""]",https://movie-phinf.pstatic.net/20181128_124/1543366247258WnoLA_JPEG/movie_image.jpg?type=m203_290_2,2019 0103
63,레토,173840,"['1981, 레닌그라드', ' 자신만의 음악을 하고 싶은 자유로운 뮤지션 ‘빅토르 최’', ' 금기의 ']",https://movie-phinf.pstatic.net/20181210_5/15444045030349OaFu_JPEG/movie_image.jpg?type=m203_290_2,2019 0103
64,마션 인베이션,174756,"['화성에서 인간이 생존할 수 있는 공간은 오로지 탐사선 뿐.', ' 탐사 대장 ‘메킨지’는 과연 ']",https://movie-phinf.pstatic.net/20181214_1/1544766634333gQIiW_JPEG/movie_image.jpg?type=m203_290_2,2019 0103
65,악령의 캠핑카,180410,"['한동안 소원했던 한 가족이 화해와 치유를 위해 중고 캠핑카를 구입해 캠핑을 떠난다.', ' 목적']",https://movie-phinf.pstatic.net/20181016_264/1539669091492ymsa2_JPEG/movie_image.jpg?type=m203_290_2,2019 0103
66,주먹왕 랄프 2: 인터넷 속으로,152632,"['각종 사고를 치며 게임 속 세상을 뒤집어 놨던 절친 주먹왕 ‘랄프’와 ‘바넬로피’는', ' 버려']",https://movie-phinf.pstatic.net/20181204_287/1543888062606NHMh7_JPEG/movie_image.jpg?type=m203_290_2,2019 0103
67,그린 북,171539,"['1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함']",https://movie-phinf.pstatic.net/20190115_228/1547528180168jgEP7_JPEG/movie_image.jpg?type=m203_290_2,2019 0109
68,내안의 그놈,164172,['엘리트 아재 판수(박성웅)를 우연히 옥상에서 떨어진 고등학생 동현(진영)이 덮치면서 제대로'],https://movie-phinf.pstatic.net/20190111_8/1547187739117rx7uW_JPEG/movie_image.jpg?type=m203_290_2,2019 0109
69,말모이,167699,"['1940년대 우리말이 점점 사라져가고 있는 경성.', ' 극장에서 해고된 후 아들 학비 때문에 ']",https://movie-phinf.pstatic.net/20181227_80/1545901137289EGbWK_JPEG/movie_image.jpg?type=m203_290_2,2019 0109
70,극장판 공룡메카드: 타이니소어의 섬,180372,"['머나먼 옛날, 소행성 충돌로 인해 지구의 공룡들이 모두 사라지고', ' 사람들에게 알려지지 않은']",https://movie-phinf.pstatic.net/20181210_8/1544404366603phGP3_JPEG/movie_image.jpg?type=m203_290_2,2019 0110
71,레드 스프링 아포칼립스,181566,"['인류가 벌인 실수로 퍼진 뱀파이어 바이러스로 초토화 된 지구. 문명은 파괴되고', ' 레이를 비']",https://movie-phinf.pstatic.net/20181211_36/1544492507900cnx9b_JPEG/movie_image.jpg?type=m203_290_2,2019 0110
72,리지 맥과이어,37005,['이제 막 중학교를 졸업한 평범한 소녀 리지 맥과이어. 고등학교 입학 전 2주간의 로마 답사'],https://movie-phinf.pstatic.net/20111222_62/1324486917344leDLb_JPEG/movie_image.jpg?type=m203_290_2,2004 0226
73,빌리어네어 보이즈클럽,155987,"['훈훈한 외모, 명석한 두뇌, 뛰어난 입담, 화려한 인맥까지...!', ' 마성의 매력으로 비버리']",https://movie-phinf.pstatic.net/20181218_200/1545099986867IYYG4_JPEG/movie_image.jpg?type=m203_290_2,2019 0110
74,완벽한 그녀의 비밀,170876,"['아름다운 여대생 ‘예신’은 멋진 남자친구 ‘미아오’와 연애중이다.', ' 어느 날 폭우가 내린 ']",https://movie-phinf.pstatic.net/20190103_179/1546492680756Lqyff_JPEG/movie_image.jpg?type=m203_290_2,2019 0110
75,구스 베이비,149278,"['내가 오리남매 엄마(?)라 구~스?!', ' 나 혼자 사는 싱글남 구스에게 닥친 최대 위기!', ' ']",https://movie-phinf.pstatic.net/20181219_119/15451808023629aUGa_JPEG/movie_image.jpg?type=m203_290_2,2019 0116
76,그대 이름은 장미,142256,"['딸에겐 잔소리 1등, 딸을 위해선 오지랖 1등, 대한민국 평범한 엄마 ‘홍장미’씨', ' 우연한']",https://movie-phinf.pstatic.net/20190116_108/1547604367067tLRsG_JPEG/movie_image.jpg?type=m203_290_2,2019 0116
77,미래의 미라이,172137,"['엄마와 아빠, 그리고 사랑스러운 강아지 ‘윳코’,', ' 너무너무 좋아하는 기차 장난감들이 있는']",https://movie-phinf.pstatic.net/20181221_261/15453677473946ktg5_JPEG/movie_image.jpg?type=m203_290_2,2019 0116
78,언더독,144318,"['하루아침에 운명이 바뀐 강아지 ‘뭉치’는', ' 우연히 만난 거리 생활의 고참 ‘짱아’ 일당을 ']",https://movie-phinf.pstatic.net/20181224_250/1545613244716iYHTg_JPEG/movie_image.jpg?type=m203_290_2,2019 0116
79,왕이 될 아이,168043,"['마음만은 핵인싸, 현실은 존재감 제로인 소년 ‘알렉스’(루이스 서키스)는', ' 어느 날 바위에']",https://movie-phinf.pstatic.net/20190111_144/1547171404525buiqs_JPEG/movie_image.jpg?type=m203_290_2,2019 0116
80,쿠르스크,151747,"['평범한 토요일 아침,', ' 해군 대위 ‘미하일’(마티아스 쇼에나에츠)은 핵잠수함 쿠르스크에 승']",https://movie-phinf.pstatic.net/20190122_184/15481438210002GEw3_JPEG/movie_image.jpg?type=m203_290_2,2019 0116
81,그림자 킬러,181542,['한 여성이 그림자처럼 숨어든 스토커에게 순식간에 살해당한다. 이후 죽음의 고속도로를 배경으'],https://movie-phinf.pstatic.net/20181228_202/1545959062758dmJVP_JPEG/movie_image.jpg?type=m203_290_2,2019 0117
82,"아나, 내사랑",159115,"['대학생 아나와 토마는 첫눈에 사랑에 빠지고', ' 뜨거운 격정으로 서로를 탐닉한다.', ' 부모의 반']",https://movie-phinf.pstatic.net/20190108_39/1546909754144Y6K7B_JPEG/movie_image.jpg?type=m203_290_2,2019 0117
83,글래스,163826,"['통제불가한 24번째 인격 비스트를 깨운 케빈,', ' 강철 같은 신체 능력을 지닌 의문의 남자 ']",https://movie-phinf.pstatic.net/20181227_126/1545900402100CiQHx_JPEG/movie_image.jpg?type=m203_290_2,2019 0117
84,꾸뻬씨의 행복여행,101953,"['매일 같이 불행하다고 외치는 사람들을 만나는 런던의 정신과 의사 ‘헥터’,', ' 과연 진정한 ']",https://movie-phinf.pstatic.net/20141103_30/1414988953933guzN2_JPEG/movie_image.jpg?type=m203_290_2,2014 1127
85,창간호,181046,"['지금부터, 꿈과 낭만이 가득한 밤의 질주가 시작됩니다.', ' 대리 드라이버', ' ', ' 심해어(深海魚']",https://movie-phinf.pstatic.net/20181224_158/1545635943586kSnyK_JPEG/movie_image.jpg?type=m203_290_2,2019 0117
86,커피메이트,146450,"['카페에서 사람들 구경하는 걸 좋아하는 그녀, ‘인영’', ' 그곳에서 자주 마주치는 그, ‘희수']",https://movie-phinf.pstatic.net/20170210_208/1486704255938hc8L9_JPEG/movie_image.jpg?type=m203_290_2,2017 0301
87,우행록: 어리석은 자의 기록,156824,"['일본 열도를 뒤흔든 살인 사건이 발생한 지 1년 후,', ' 미궁에 빠진 사건의 진실을 찾고자']",https://movie-phinf.pstatic.net/20190107_119/1546824437734emDwz_JPEG/movie_image.jpg?type=m203_290_2,2019 0117
88,일일시호일,179318,"['스무살의 노리코는 아직 자신이 하고 싶은 것을 찾지 못했다.', ' 우연히 시작하게 된 다도가 ']",https://movie-phinf.pstatic.net/20181220_182/1545273315052upI3V_JPEG/movie_image.jpg?type=m203_290_2,2019 0117
